date,open,high,low,close,volume,timeframe,instrument_type
2025-11-21 13:00:00+05:30,26521.3,26536.0,26490.1,26490.1,5850,15m,FUTURES
2025-11-21 13:15:00+05:30,26490.1,26500.4,26455.5,26467.3,17420,15m,FUTURES
2025-11-21 13:30:00+05:30,26467.3,26491.0,26460.1,26480.0,12675,15m,FUTURES
2025-11-21 13:45:00+05:30,26480.0,26504.9,26457.5,26502.2,3705,15m,FUTURES
2025-11-21 14:00:00+05:30,26502.2,26515.0,26490.0,26510.1,3380,15m,FUTURES
2025-11-21 14:15:00+05:30,26510.1,26520.0,26500.1,26512.0,3575,15m,FUTURES
2025-11-21 14:30:00+05:30,26512.0,26521.9,26484.0,26484.0,5785,15m,FUTURES
2025-11-21 14:45:00+05:30,26484.0,26485.0,26422.5,26430.0,20345,15m,FUTURES
2025-11-21 15:00:00+05:30,26430.0,26444.9,26420.0,26425.0,19760,15m,FUTURES
2025-11-21 15:15:00+05:30,26425.0,26433.0,26410.0,26416.0,31005,15m,FUTURES
2025-11-24 09:15:00+05:30,26489.9,26489.9,26301.0,26475.0,16250,15m,FUTURES
2025-11-24 09:30:00+05:30,26475.0,26478.0,26445.0,26445.0,6500,15m,FUTURES
2025-11-24 09:45:00+05:30,26445.0,26475.0,26424.2,26446.6,5785,15m,FUTURES
2025-11-24 10:00:00+05:30,26446.6,26480.7,26446.6,26480.7,4225,15m,FUTURES
2025-11-24 10:15:00+05:30,26480.7,26488.9,26470.8,26476.0,5980,15m,FUTURES
2025-11-24 10:30:00+05:30,26476.0,26497.0,26475.0,26491.1,4810,15m,FUTURES
2025-11-24 10:45:00+05:30,26491.1,26491.1,26470.0,26475.0,4095,15m,FUTURES
2025-11-24 11:00:00+05:30,26475.0,26475.0,26451.4,26461.1,2535,15m,FUTURES
2025-11-24 11:15:00+05:30,26461.1,26476.0,26446.5,26476.0,3315,15m,FUTURES
2025-11-24 11:30:00+05:30,26476.0,26480.0,26466.6,26475.0,2145,15m,FUTURES
2025-11-24 11:45:00+05:30,26475.0,26475.0,26430.0,26450.7,7930,15m,FUTURES
2025-11-24 12:00:00+05:30,26450.7,26456.0,26435.0,26444.6,11245,15m,FUTURES
2025-11-24 12:15:00+05:30,26444.6,26461.4,26430.0,26431.0,12350,15m,FUTURES
2025-11-24 12:30:00+05:30,26431.0,26454.0,26420.0,26451.0,10725,15m,FUTURES
2025-11-24 12:45:00+05:30,26451.0,26460.1,26435.0,26448.2,7475,15m,FUTURES
2025-11-24 13:00:00+05:30,26448.2,26456.0,26437.1,26450.0,9750,15m,FUTURES
2025-11-24 13:15:00+05:30,26450.0,26458.0,26438.2,26438.2,4225,15m,FUTURES
2025-11-24 13:30:00+05:30,26438.2,26455.0,26434.9,26455.0,10595,15m,FUTURES
2025-11-24 13:45:00+05:30,26455.0,26455.0,26435.0,26435.0,4745,15m,FUTURES
2025-11-24 14:00:00+05:30,26435.0,26439.2,26410.0,26416.9,12935,15m,FUTURES
2025-11-24 14:15:00+05:30,26416.9,26420.0,26390.0,26390.8,12675,15m,FUTURES
2025-11-24 14:30:00+05:30,26390.8,26407.9,26390.1,26401.8,10270,15m,FUTURES
2025-11-24 14:45:00+05:30,26401.8,26412.0,26393.1,26405.0,22750,15m,FUTURES
2025-11-24 15:00:00+05:30,26405.0,26423.2,26345.0,26359.1,47710,15m,FUTURES
